,Average,Minimum,Maximum,Percent Change
Bridgit Mendler,3621150.13150289,2926713,4364688,17.401243899251963
Demi Lovato,28985508.63583815,24247779,37435921,-1.0180190188128178
Dove Cameron,9909454.211895911,3142470,18541962,156.24182348106837
Jonas Brothers,21051948.700144507,15867186,34470718,-40.52662151371446
Miley Cyrus,51374772.25578035,33680629,85182173,27.457684708087065
Ross Lynch,2360604.3598265895,945687,4060722,147.61998420196113
Selena Gomez,43250789.408236995,31972673,58923255,13.708252596062545
Vanessa Hudgens,3334271.8511560694,2323602,5137527,39.95134745533611
